city,timestamp,temperature,season
New York,2010-01-01,-2.166299378226251,winter
New York,2010-01-02,-7.5342673521581744,winter
New York,2010-01-03,-2.7574946392404804,winter
New York,2010-01-04,-7.304578126394858,winter
New York,2010-01-05,3.078325364058424,winter
New York,2010-01-06,8.251254449975903,winter
New York,2010-01-07,-5.031026888063035,winter
New York,2010-01-08,-5.734391120662755,winter
New York,2010-01-09,5.769149585114701,winter
New York,2010-01-10,2.1071522390952993,winter
New York,2010-01-11,0.8930384234630182,winter
New York,2010-01-12,-1.1157370191559672,winter
New York,2010-01-13,14.569754269313,winter
New York,2010-01-14,5.72022456865391,winter
New York,2010-01-15,-0.5354471576208518,winter
New York,2010-01-16,-7.300441795277841,winter
New York,2010-01-17,-0.6020056007098634,winter
New York,2010-01-18,-1.380947666270595,winter
New York,2010-01-19,-3.2134682418747667,winter
New York,2010-01-20,-4.545074845464676,winter
New York,2010-01-21,-6.367902732895238,winter
New York,2010-01-22,8.125096655248667,winter
New York,2010-01-23,12.816582214720022,winter
New York,2010-01-24,-0.6208486021650518,winter
New York,2010-01-25,3.512807377828517,winter
New York,2010-01-26,1.4521217198904102,winter
New York,2010-01-27,-2.0593301089452223,winter
New York,2010-01-28,-3.193541821867588,winter
New York,2010-01-29,-1.8974764225922944,winter
New York,2010-01-30,-1.3038034771673546,winter
New York,2010-01-31,0.5187275554554848,winter
New York,2010-02-01,3.6753968485814603,winter
New York,2010-02-02,-1.4500685237445041,winter
New York,2010-02-03,-4.727565788877721,winter
New York,2010-02-04,-1.2507938190591272,winter
New York,2010-02-05,0.37340782611186163,winter
New York,2010-02-06,-3.346573851076016,winter
New York,2010-02-07,-4.905436685091338,winter
New York,2010-02-08,-4.0851470453365675,winter
New York,2010-02-09,-4.278374900749527,winter
New York,2010-02-10,-6.383560926052603,winter
New York,2010-02-11,-8.054904725140588,winter
New York,2010-02-12,-2.034476371525119,winter
New York,2010-02-13,3.103704458473462,winter
New York,2010-02-14,1.80252744196697,winter
New York,2010-02-15,14.178998826001958,winter
New York,2010-02-16,0.9719727157437432,winter
New York,2010-02-17,7.279910477261492,winter
New York,2010-02-18,2.248998945127397,winter
New York,2010-02-19,-7.887277553652849,winter
New York,2010-02-20,2.576570324077281,winter
New York,2010-02-21,-0.026723655917730852,winter
New York,2010-02-22,6.606818745078704,winter
New York,2010-02-23,3.235062070587488,winter
New York,2010-02-24,3.8120994368519954,winter
New York,2010-02-25,-6.688851141116209,winter
New York,2010-02-26,-2.9576997095740936,winter
New York,2010-02-27,5.305417499418253,winter
New York,2010-02-28,6.375713904377225,winter
New York,2010-03-01,13.983910333109913,spring
New York,2010-03-02,7.826875870010227,spring
New York,2010-03-03,8.10583331303551,spring
New York,2010-03-04,14.41770624801743,spring
New York,2010-03-05,4.864109379318993,spring
New York,2010-03-06,12.04055535774107,spring
New York,2010-03-07,13.001172226519511,spring
New York,2010-03-08,18.718611272015266,spring
New York,2010-03-09,9.782584934096553,spring
New York,2010-03-10,11.359258149759004,spring
New York,2010-03-11,5.011409479547183,spring
New York,2010-03-12,11.527072873731088,spring
New York,2010-03-13,11.317068439548068,spring
New York,2010-03-14,-5.215201165335415,spring
New York,2010-03-15,13.222743340954105,spring
New York,2010-03-16,4.440010814611517,spring
New York,2010-03-17,16.55614836442562,spring
New York,2010-03-18,11.160813609573584,spring
New York,2010-03-19,14.990844013829989,spring
New York,2010-03-20,11.699980582772953,spring
New York,2010-03-21,7.363547549253067,spring
